Protein,PName,PepCount,BL_BLUS_pval,BL_OGD_pval,OGD_OGDUS_pval,BL_OGD_FC,BL_BLUS_FC,OGD_OGDUS_FC,BL_Avg,BL_avg2,BL+US,OGD_avg,OGD_avg2,OGD+US
ADAM9_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9; Short=ADAM 9; EC=3.4.24.-; AltName: Full=Meltrin-gamma; AltName: Full=Metalloprotease/disintegrin/cysteine-rich protein 9; AltName: Full=Myeloma cell metalloproteinase; Flags: Precursor; Acces,2,0.47,0.85,0.75,0.08,0.25,-0.10,23.92,23.92,23.67,23.83,23.83,23.93
ADAS_MOUSE,"Alkyldihydroxyacetonephosphate synthase, peroxisomal; Short=Alkyl-DHAP synthase; EC=2.5.1.26; AltName: Full=Alkylglycerone-phosphate synthase; Flags: Precursor; Accession=Q8C0I1; [Mus musculus (Mouse)]",5,0.29,0.40,0.16,-0.37,-0.47,-0.35,23.62,23.62,24.08,23.99,23.99,24.33
ADCY4_MOUSE,Adenylate cyclase type 4; EC=4.6.1.1 {ECO:0000250|UniProtKB:P26770}; AltName: Full=ATP pyrophosphate-lyase 4; AltName: Full=Adenylate cyclase type IV; AltName: Full=Adenylyl cyclase 4; Accession=Q91WF3; [Mus musculus (Mouse)],1,,0.01,0.61,-0.48,,0.23,,27.33,,27.81,27.81,27.58
ADDA_MOUSE,Alpha-adducin; AltName: Full=Erythrocyte adducin subunit alpha; Accession=Q9QYC0; Q9JLE3; [Mus musculus (Mouse)],9,0.94,0.53,0.69,0.09,0.01,-0.07,26.58,26.58,26.57,26.49,26.49,26.56
ADDG_MOUSE,Gamma-adducin; AltName: Full=Adducin-like protein 70; Accession=Q9QYB5; Q8JZT6; Q9D2M5; Q9QYB6; [Mus musculus (Mouse)],7,0.35,0.27,0.24,0.53,-0.19,-0.57,25.65,25.65,25.84,25.12,25.12,25.68
ADH1_MOUSE,Alcohol dehydrogenase 1; EC=1.1.1.1; AltName: Full=ADH-A2; AltName: Full=Alcohol dehydrogenase A subunit; Accession=P00329; [Mus musculus (Mouse)],1,0.84,0.48,0.47,-0.18,-0.05,-0.13,27.12,27.12,27.17,27.30,27.30,27.43
ADHX_MOUSE,Alcohol dehydrogenase class-3; EC=1.1.1.1; AltName: Full=Alcohol dehydrogenase 2; AltName: Full=Alcohol dehydrogenase 5; AltName: Full=Alcohol dehydrogenase B2; Short=ADH-B2; AltName: Full=Alcohol dehydrogenase class-III; AltName: Full=Glutathione-depende,10,0.68,0.76,0.15,0.06,-0.09,-0.24,27.43,27.43,27.52,27.38,27.38,27.62
ADK_MOUSE,Adenosine kinase; Short=AK; EC=2.7.1.20; AltName: Full=Adenosine 5'-phosphotransferase; Accession=P55264; Q6JAM3; Q91VJ3; [Mus musculus (Mouse)],16,0.66,0.40,0.68,0.17,0.09,-0.07,27.17,27.17,27.07,27.00,27.00,27.07
ADPRH_MOUSE,[Protein ADP-ribosylarginine] hydrolase; Short=ADP-ribosylarginine hydrolase; EC=3.2.2.19; AltName: Full=ADP-ribose-L-arginine cleaving enzyme; Accession=P54923; [Mus musculus (Mouse)],2,0.68,0.84,0.15,0.08,-0.15,-0.42,24.06,24.06,24.21,23.98,23.98,24.39
ADRM1_MOUSE,Proteasomal ubiquitin receptor ADRM1; AltName: Full=110 kDa cell membrane glycoprotein; Short=Gp110; AltName: Full=Adhesion-regulating molecule 1; Short=ARM-1; AltName: Full=Rpn13 homolog; Accession=Q9JKV1; Q3UKZ8; Q8BPH8; Q922A7; [Mus musculus (Mouse)],1,0.35,0.17,0.86,-0.70,-0.42,-0.05,23.22,23.22,23.64,23.92,23.92,23.97
ADT1_MOUSE,"ADP/ATP translocase 1; AltName: Full=ADP,ATP carrier protein 1; AltName: Full=ADP,ATP carrier protein, heart/skeletal muscle isoform T1; AltName: Full=Adenine nucleotide translocator 1; Short=ANT 1; AltName: Full=Solute carrier family 25 member 4; AltName",20,0.94,0.93,0.84,-0.03,-0.03,0.06,27.69,27.69,27.72,27.72,27.72,27.66
ADT2_MOUSE,"ADP/ATP translocase 2; AltName: Full=ADP,ATP carrier protein 2; AltName: Full=Adenine nucleotide translocator 2; Short=ANT 2; AltName: Full=Solute carrier family 25 member 5; Contains: ADP/ATP translocase 2, N-terminally processed; Accession=P51881; Q6131",17,0.73,0.12,0.09,-0.21,0.06,0.23,26.30,26.30,26.23,26.51,26.51,26.28
ADT4_MOUSE,"ADP/ATP translocase 4; AltName: Full=ADP,ATP carrier protein 4; AltName: Full=Adenine nucleotide translocator 4; Short=ANT 4; AltName: Full=Solute carrier family 25 member 31; AltName: Full=Sperm flagellar energy carrier protein; Contains: ADP/ATP translo",1,0.89,0.95,0.27,-0.03,0.07,0.68,25.16,25.16,25.09,25.19,25.19,24.50
ADXL_MOUSE,"Adrenodoxin-like protein, mitochondrial; AltName: Full=Ferredoxin-1-like protein; Flags: Precursor; Accession=Q9CPW2; Q6P8M0; Q9CV00; [Mus musculus (Mouse)]",1,0.70,0.91,0.38,-0.06,0.31,-0.34,22.99,22.99,22.68,23.04,23.04,23.38
AF1L1_MOUSE,Actin filament-associated protein 1-like 1; Short=AFAP1-like protein 1; Accession=Q8BZI0; Q8BKB8; [Mus musculus (Mouse)],1,,,,,,,,,,,,
AFAD_MOUSE,Afadin; AltName: Full=Protein Af-6; Accession=Q9QZQ1; [Mus musculus (Mouse)],21,0.24,0.07,0.25,0.46,0.28,-0.25,25.78,25.78,25.50,25.32,25.32,25.57
AFAP1_MOUSE,Actin filament-associated protein 1; AltName: Full=110 kDa actin filament-associated protein; Short=AFAP-110; Accession=Q80YS6; Q3UGX1; Q6ZPE4; [Mus musculus (Mouse)],1,0.54,0.29,0.85,0.83,0.53,-0.18,25.28,25.28,24.75,24.45,24.45,24.62
AFG31_MOUSE,AFG3-like protein 1; EC=3.4.24.-; Accession=Q920A7; Q3THK2; Q6PGJ7; Q9CZN2; [Mus musculus (Mouse)],1,0.91,0.47,0.08,-0.20,-0.03,0.64,23.41,23.41,23.44,23.62,23.62,22.98
AFG32_MOUSE,AFG3-like protein 2; EC=3.4.24.-; Accession=Q8JZQ2; [Mus musculus (Mouse)],6,0.70,0.15,0.65,0.26,0.08,0.10,25.70,25.70,25.62,25.44,25.44,25.34
AGAL_MOUSE,Alpha-galactosidase A; EC=3.2.1.22 {ECO:0000250|UniProtKB:P06280}; AltName: Full=Alpha-D-galactosidase A; AltName: Full=Alpha-D-galactoside galactohydrolase; AltName: Full=Melibiase; Flags: Precursor; Accession=P51569; [Mus musculus (Mouse)],2,0.59,0.81,0.27,-0.14,-0.35,0.36,22.78,22.78,23.12,22.92,22.92,22.56
AGFG1_MOUSE,Arf-GAP domain and FG repeat-containing protein 1; AltName: Full=HIV-1 Rev-binding protein homolog; AltName: Full=Nucleoporin-like protein RIP; Accession=Q8K2K6; O70448; Q8BQL5; Q8CDK9; [Mus musculus (Mouse)],4,0.77,0.88,0.81,-0.06,-0.14,0.09,22.50,22.50,22.63,22.56,22.56,22.46
AGFG2_MOUSE,Arf-GAP domain and FG repeat-containing protein 2; AltName: Full=HIV-1 Rev-binding protein-like protein; AltName: Full=Rev/Rex activation domain-binding protein related; Short=RAB-R; Accession=Q80WC7; Q8BKS5; Q99J67; [Mus musculus (Mouse)],1,0.92,0.71,,-0.17,-0.02,,22.49,22.49,22.51,22.66,,
AGM1_MOUSE,Phosphoacetylglucosamine mutase {ECO:0000305}; Short=PAGM; EC=5.4.2.3 {ECO:0000250|UniProtKB:O95394}; AltName: Full=Acetylglucosamine phosphomutase {ECO:0000305}; AltName: Full=N-acetylglucosamine-phosphate mutase {ECO:0000305}; AltName: Full=Phosphogluco,5,0.15,0.01,0.41,0.44,0.26,-0.13,26.00,26.00,25.75,25.56,25.56,25.69
AHSA1_MOUSE,Activator of 90 kDa heat shock protein ATPase homolog 1; Short=AHA1; Accession=Q8BK64; Q8R3E6; [Mus musculus (Mouse)],8,0.57,0.93,0.75,-0.03,-0.14,0.10,25.04,25.04,25.17,25.06,25.06,24.96
AIDA_MOUSE,"Axin interactor, dorsalization-associated protein; AltName: Full=Axin interaction partner and dorsalization antagonist; Accession=Q8C4Q6; Q3U6V0; Q3UP85; Q6NXY2; Q6PG77; Q78W09; Q99K80; [Mus musculus (Mouse)]",5,0.93,0.34,0.54,0.41,-0.04,-0.19,23.52,23.52,23.56,23.11,23.11,23.29
AIFM1_MOUSE,"Apoptosis-inducing factor 1, mitochondrial; EC=1.1.1.-; AltName: Full=Programmed cell death protein 8; Flags: Precursor; Accession=Q9Z0X1; [Mus musculus (Mouse)]",7,0.99,0.31,0.86,-0.27,0.00,0.05,23.96,23.96,23.96,24.24,24.24,24.18
AIMP1_MOUSE,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1; AltName: Full=Multisynthase complex auxiliary component p43; Contains: Endothelial monocyte-activating polypeptide 2; Short=EMAP-2; AltName: Full=Endothelial monocyte-activating polype,10,0.27,0.51,0.57,0.13,-0.16,-0.12,27.11,27.11,27.28,26.98,26.98,27.10
AIMP2_MOUSE,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2; AltName: Full=Multisynthase complex auxiliary component p38; AltName: Full=Protein JTV-1; Accession=Q8R010; E9QP67; Q8R2Y6; [Mus musculus (Mouse)],4,0.37,0.83,0.50,0.06,-0.25,-0.20,24.19,24.19,24.44,24.13,24.13,24.32
AIP_MOUSE,AH receptor-interacting protein; Short=AIP; AltName: Full=Aryl-hydrocarbon receptor-interacting protein; Accession=O08915; Q3UJM2; [Mus musculus (Mouse)],5,0.36,0.85,0.11,-0.05,-0.25,-0.36,24.93,24.93,25.18,24.98,24.98,25.34
AK1A1_MOUSE,Alcohol dehydrogenase [NADP(+)]; EC=1.1.1.2; AltName: Full=Aldehyde reductase; AltName: Full=Aldo-keto reductase family 1 member A1; Accession=Q9JII6; Q9CQI5; Q9CQT8; Q9CT53; Q9D012; Q9D016; Q9D0I7; Q9D0P3; [Mus musculus (Mouse)],11,0.97,0.73,0.36,-0.14,0.02,0.37,25.82,25.82,25.81,25.96,25.96,25.60
AKA10_MOUSE,"A-kinase anchor protein 10, mitochondrial; Short=AKAP-10; AltName: Full=Dual specificity A kinase-anchoring protein 2; Short=D-AKAP-2; AltName: Full=Protein kinase A-anchoring protein 10; Short=PRKA10; Flags: Precursor; Accession=O88845; Q5SUB5; Q5SUB7; Q",1,0.56,0.91,0.08,0.04,-0.26,-0.74,22.09,22.09,22.35,22.05,22.05,22.79
AKA12_MOUSE,A-kinase anchor protein 12; Short=AKAP-12; AltName: Full=Germ cell lineage protein gercelin; AltName: Full=Src-suppressed C kinase substrate; Short=SSeCKS; Accession=Q9WTQ5; Q80SS4; Q810D4; Q8BPK4; Q99MP1; [Mus musculus (Mouse)],42,0.95,0.86,0.99,0.05,0.02,0.00,27.50,27.50,27.48,27.45,27.45,27.45
AKAP2_MOUSE,A-kinase anchor protein 2; Short=AKAP-2; AltName: Full=AKAP expressed in kidney and lung; Short=AKAP-KL; AltName: Full=Protein kinase A-anchoring protein 2; Short=PRKA2; Accession=O54931; A2APJ4; O54932; O54933; Q8C5W1; [Mus musculus (Mouse)],25,0.64,0.61,0.45,0.07,-0.06,0.13,27.30,27.30,27.36,27.23,27.23,27.09
AKAP5_MOUSE,A-kinase anchor protein 5; Short=AKAP-5; AltName: Full=A-kinase anchor protein 150 kDa; Short=AKAP 150; Short=P150; AltName: Full=cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein; Accession=D3YVF0; D3Z5C9; [Mus musculus (M,8,0.78,0.42,0.17,0.35,0.11,-0.65,24.26,24.26,24.14,23.91,23.91,24.56
AKAP8_MOUSE,A-kinase anchor protein 8; Short=AKAP-8; AltName: Full=A-kinase anchor protein 95 kDa; Short=AKAP 95; Accession=Q9DBR0; Q9R0L8; [Mus musculus (Mouse)],3,1.00,0.69,0.10,0.14,0.00,-0.59,23.10,23.10,23.09,22.96,22.96,23.55
AKCL2_MOUSE,"1,5-anhydro-D-fructose reductase; Short=AF reductase; EC=1.1.1.263; AltName: Full=Aldo-keto reductase family 1 member C-like protein 2; AltName: Full=Aldo-keto reductase family 1 member E1; AltName: Full=Aldo-keto reductase family 1 member E2; Accession=Q",2,0.53,0.35,0.50,0.35,0.32,0.37,25.04,25.04,24.72,24.69,24.69,24.32
AKT1_MOUSE,RAC-alpha serine/threonine-protein kinase; EC=2.7.11.1; AltName: Full=AKT1 kinase; AltName: Full=Protein kinase B; Short=PKB; AltName: Full=Protein kinase B alpha; Short=PKB alpha; AltName: Full=Proto-oncogene c-Akt; AltName: Full=RAC-PK-alpha; AltName: F,8,0.35,0.03,0.94,0.40,0.19,0.01,25.45,25.45,25.26,25.05,25.05,25.04
AL1A1_MOUSE,"Retinal dehydrogenase 1; Short=RALDH 1; Short=RalDH1; EC=1.2.1.36; AltName: Full=ALDH-E1; AltName: Full=ALHDII; AltName: Full=Aldehyde dehydrogenase family 1 member A1; AltName: Full=Aldehyde dehydrogenase, cytosolic; Accession=P24549; Q7TQJ0; Q811J0; [Mu",39,0.52,0.50,0.72,0.20,0.21,0.11,28.65,28.65,28.44,28.46,28.46,28.35
AL1A2_MOUSE,Retinal dehydrogenase 2; Short=RALDH 2; Short=RalDH2; EC=1.2.1.36; AltName: Full=Aldehyde dehydrogenase family 1 member A2; AltName: Full=Retinaldehyde-specific dehydrogenase type 2; Short=RALDH(II); Accession=Q62148; Q6DI79; [Mus musculus (Mouse)],3,0.66,0.50,0.61,-0.33,-0.24,0.30,23.96,23.96,24.21,24.30,24.30,24.00
AL1A7_MOUSE,"Aldehyde dehydrogenase, cytosolic 1; EC=1.2.1.3; AltName: Full=ALDH class 1; AltName: Full=ALDH-E1; AltName: Full=ALHDII; AltName: Full=Aldehyde dehydrogenase family 1 member A7; AltName: Full=Aldehyde dehydrogenase phenobarbital-inducible; Accession=O359",4,0.74,0.13,0.32,0.55,0.11,-0.35,26.39,26.39,26.28,25.85,25.85,26.20
AL1B1_MOUSE,"Aldehyde dehydrogenase X, mitochondrial; EC=1.2.1.3; AltName: Full=Aldehyde dehydrogenase family 1 member B1; Flags: Precursor; Accession=Q9CZS1; Q3UAH5; [Mus musculus (Mouse)]",1,0.87,0.46,0.66,0.25,0.06,0.14,25.25,25.25,25.19,25.00,25.00,24.85
AL3A1_MOUSE,"Aldehyde dehydrogenase, dimeric NADP-preferring; EC=1.2.1.5 {ECO:0000269|PubMed:25286108}; AltName: Full=Aldehyde dehydrogenase 4; AltName: Full=Aldehyde dehydrogenase family 3 member A1; AltName: Full=Dioxin-inducible aldehyde dehydrogenase 3; Accession=",8,0.39,0.39,0.69,0.43,0.45,0.22,26.59,26.59,26.14,26.16,26.16,25.94
AL3A2_MOUSE,Fatty aldehyde dehydrogenase; EC=1.2.1.3 {ECO:0000269|PubMed:25286108}; AltName: Full=Aldehyde dehydrogenase 3; AltName: Full=Aldehyde dehydrogenase family 3 member A2; Accession=P47740; Q99L64; [Mus musculus (Mouse)],1,0.97,0.18,0.94,1.39,0.03,0.07,24.20,24.20,24.17,22.81,22.81,22.73
AL4A1_MOUSE,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial; Short=P5C dehydrogenase; EC=1.2.1.88; AltName: Full=Aldehyde dehydrogenase family 4 member A1; AltName: Full=L-glutamate gamma-semialdehyde dehydrogenase; Flags: Precursor; Accession=Q8CHT0; B1",5,0.84,0.63,0.87,-0.13,-0.05,-0.03,25.15,25.15,25.20,25.28,25.28,25.31
AL7A1_MOUSE,Alpha-aminoadipic semialdehyde dehydrogenase; Short=Alpha-AASA dehydrogenase; EC=1.2.1.31; AltName: Full=Aldehyde dehydrogenase family 7 member A1; EC=1.2.1.3; AltName: Full=Antiquitin-1; AltName: Full=Betaine aldehyde dehydrogenase; EC=1.2.1.8; AltName: ,2,0.21,,,,-0.44,,21.37,,21.81,,,
AL9A1_MOUSE,4-trimethylaminobutyraldehyde dehydrogenase; Short=TMABADH; EC=1.2.1.47; AltName: Full=Aldehyde dehydrogenase family 9 member A1; EC=1.2.1.3; Accession=Q9JLJ2; [Mus musculus (Mouse)],3,0.94,0.66,0.99,0.14,-0.02,-0.01,23.80,23.80,23.81,23.65,23.65,23.66
ALBU_MOUSE,Serum albumin; Flags: Precursor; Accession=P07724; Q3TV03; Q61802; Q8C7C7; Q8C7H3; Q8CG74; [Mus musculus (Mouse)],1,0.73,0.00,0.14,1.92,-0.16,-0.51,28.54,28.54,28.69,26.62,26.62,27.13
ALD2_MOUSE,Aldose reductase-related protein 2; Short=AR; EC=1.1.1.21; AltName: Full=Aldehyde reductase; AltName: Full=Fibroblast growth factor-regulated protein; AltName: Full=Protein FR-1; Accession=P45377; Q99JN4; [Mus musculus (Mouse)],14,0.96,0.54,0.94,0.16,-0.01,-0.02,28.27,28.27,28.28,28.11,28.11,28.13
ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial; EC=1.2.1.3; AltName: Full=AHD-M1; AltName: Full=ALDH class 2; AltName: Full=ALDH-E2; AltName: Full=ALDHI; Flags: Precursor; Accession=P47738; [Mus musculus (Mouse)]",39,0.92,0.96,0.98,-0.02,0.03,0.01,28.75,28.75,28.72,28.77,28.77,28.76
ALDOA_MOUSE,Fructose-bisphosphate aldolase A; EC=4.1.2.13; AltName: Full=Aldolase 1; AltName: Full=Muscle-type aldolase; Accession=P05064; [Mus musculus (Mouse)],23,0.19,0.87,0.22,0.03,-0.23,-0.25,29.11,29.11,29.34,29.08,29.08,29.32
ALDR_MOUSE,Aldose reductase; Short=AR; EC=1.1.1.21; AltName: Full=Aldehyde reductase; Accession=P45376; O70130; Q99KC9; [Mus musculus (Mouse)],9,0.40,0.72,0.42,-0.12,-0.24,0.25,28.91,28.91,29.15,29.03,29.03,28.79
ALG5_MOUSE,Dolichyl-phosphate beta-glucosyltransferase; Short=DolP-glucosyltransferase; EC=2.4.1.117; AltName: Full=Asparagine-linked glycosylation protein 5 homolog; Accession=Q9DB25; [Mus musculus (Mouse)],2,0.86,0.30,0.72,-0.21,0.05,0.08,25.43,25.43,25.38,25.64,25.64,25.56
AMD_MOUSE,Peptidyl-glycine alpha-amidating monooxygenase; Short=PAM; Includes: Peptidylglycine alpha-hydroxylating monooxygenase; Short=PHM; EC=1.14.17.3; Includes: Peptidyl-alpha-hydroxyglycine alpha-amidating lyase; EC=4.3.2.5; AltName: Full=Peptidylamidoglycolat,1,0.47,0.45,0.56,0.26,-0.32,-0.14,21.87,21.87,22.19,21.61,21.61,21.75
AMPB_MOUSE,Aminopeptidase B; Short=AP-B; EC=3.4.11.6; AltName: Full=Arginine aminopeptidase; AltName: Full=Arginyl aminopeptidase; AltName: Full=Cytosol aminopeptidase IV; Accession=Q8VCT3; Q3TX27; [Mus musculus (Mouse)],7,0.75,0.12,0.26,0.36,0.04,-0.25,26.18,26.18,26.13,25.81,25.81,26.07
AMPD2_MOUSE,AMP deaminase 2; EC=3.5.4.6; AltName: Full=AMP deaminase isoform L; Accession=Q9DBT5; A2AE28; Q91YI2; [Mus musculus (Mouse)],2,0.91,0.96,0.06,-0.03,-0.07,-0.51,23.40,23.40,23.47,23.43,23.43,23.94
AMPD3_MOUSE,AMP deaminase 3; EC=3.5.4.6; AltName: Full=AMP deaminase H-type; AltName: Full=AMP deaminase isoform E; AltName: Full=Heart-type AMPD; Accession=O08739; O88692; Q8CFR4; [Mus musculus (Mouse)],4,0.60,0.66,0.75,0.16,0.19,0.11,24.66,24.66,24.47,24.50,24.50,24.39
AMPL_MOUSE,Cytosol aminopeptidase; EC=3.4.11.1; AltName: Full=Leucine aminopeptidase 3; Short=LAP-3; AltName: Full=Leucyl aminopeptidase; AltName: Full=Proline aminopeptidase; EC=3.4.11.5; AltName: Full=Prolyl aminopeptidase; Accession=Q9CPY7; Q3TFS5; Q4FJV1; Q4FK15,17,0.73,0.62,0.76,-0.11,0.08,0.05,26.68,26.68,26.60,26.79,26.79,26.74
AMRP_MOUSE,Alpha-2-macroglobulin receptor-associated protein; Short=Alpha-2-MRAP; AltName: Full=Heparin-binding protein 44; Short=HBP-44; AltName: Full=Low density lipoprotein receptor-related protein-associated protein 1; Short=RAP; Flags: Precursor; Accession=P553,10,0.49,0.19,0.64,0.31,-0.20,-0.10,27.18,27.18,27.38,26.87,26.87,26.97
AN13A_MOUSE,Ankyrin repeat domain-containing protein 13A; Accession=Q80UP5; Q2VPQ7; Q6P7F2; [Mus musculus (Mouse)],5,0.55,0.69,0.91,-0.14,-0.19,0.03,25.33,25.33,25.53,25.47,25.47,25.44
AN32A_MOUSE,Acidic leucine-rich nuclear phosphoprotein 32 family member A; AltName: Full=Acidic nuclear phosphoprotein pp32; AltName: Full=Leucine-rich acidic nuclear protein; Short=LANP; AltName: Full=Potent heat-stable protein phosphatase 2A inhibitor I1PP2A; Acces,9,0.94,0.65,0.42,0.16,0.02,0.26,27.69,27.69,27.66,27.53,27.53,27.27
AN32B_MOUSE,Acidic leucine-rich nuclear phosphoprotein 32 family member B; AltName: Full=Proliferation-related acidic leucine-rich protein PAL31; Accession=Q9EST5; B1AVH9; Q566J4; [Mus musculus (Mouse)],7,0.59,0.92,0.10,0.02,0.16,0.51,26.01,26.01,25.85,25.99,25.99,25.48
AN32C_MOUSE,Putative acidic leucine-rich nuclear phosphoprotein 32 family member C; Accession=Q64G17; [Mus musculus (Mouse)],2,0.85,0.48,0.54,0.16,-0.04,0.16,28.05,28.05,28.09,27.89,27.89,27.73
AN32E_MOUSE,Acidic leucine-rich nuclear phosphoprotein 32 family member E; AltName: Full=Cerebellar postnatal development protein 1; AltName: Full=LANP-like protein; Short=LANP-L; Accession=P97822; Q3TH89; Q8BPF8; Q8C2L4; Q8C7Q8; Q9CZD2; [Mus musculus (Mouse)],3,0.65,0.05,0.93,0.48,0.11,-0.03,26.94,26.94,26.83,26.46,26.46,26.49
ANCHR_MOUSE,Abscission/NoCut checkpoint regulator; Short=ANCHR; AltName: Full=Zinc finger FYVE domain-containing protein 19; Accession=Q9DAZ9; A2AV55; Q8VCV7; [Mus musculus (Mouse)],1,,0.10,0.09,0.67,,-0.65,,22.27,,21.60,21.60,22.26
ANFY1_MOUSE,Rabankyrin-5 {ECO:0000303|PubMed:15328530}; Short=Rank-5; AltName: Full=Ankyrin repeat and FYVE domain-containing protein 1; AltName: Full=Ankyrin repeats hooked to a zinc finger motif; Accession=Q810B6; B1ATS3; O54807; Q80TG6; Q80UH8; [Mus musculus (Mous,5,0.82,0.21,0.20,0.22,0.03,0.23,26.07,26.07,26.03,25.85,25.85,25.62
ANGP2_MOUSE,Angiopoietin-2; Short=ANG-2; Flags: Precursor; Accession=O35608; Q3U1A1; Q9D2D2; [Mus musculus (Mouse)],1,0.73,0.97,0.85,-0.03,-0.31,0.18,24.15,24.15,24.45,24.18,24.18,24.00
ANM1_MOUSE,Protein arginine N-methyltransferase 1; EC=2.1.1.319 {ECO:0000250|UniProtKB:Q99873}; AltName: Full=Histone-arginine N-methyltransferase PRMT1; Accession=Q9JIF0; Q99LS4; [Mus musculus (Mouse)],6,0.73,0.50,0.71,0.29,-0.14,-0.14,27.06,27.06,27.20,26.77,26.77,26.91
ANM5_MOUSE,Protein arginine N-methyltransferase 5; EC=2.1.1.320 {ECO:0000250|UniProtKB:O14744}; AltName: Full=Histone-arginine N-methyltransferase PRMT5; AltName: Full=Jak-binding protein 1; AltName: Full=Shk1 kinase-binding protein 1 homolog; Short=SKB1 homolog; Ac,3,0.56,0.53,0.31,0.43,-0.34,-0.63,22.78,22.78,23.12,22.34,22.34,22.97
ANO10_MOUSE,Anoctamin-10; AltName: Full=Transmembrane protein 16K; Accession=Q8BH79; Q4FZD2; Q8BMS8; Q8BV74; Q8BW67; Q8R0U0; Q99LP0; [Mus musculus (Mouse)],3,0.34,0.54,0.71,0.20,-0.24,-0.14,24.68,24.68,24.92,24.48,24.48,24.62
ANO6_MOUSE,Anoctamin-6; AltName: Full=Small-conductance calcium-activated nonselective cation channel; Short=SCAN channel; AltName: Full=Transmembrane protein 16F; Accession=Q6P9J9; Q8C242; [Mus musculus (Mouse)],3,0.80,0.88,0.57,0.05,0.07,-0.16,25.02,25.02,24.95,24.97,24.97,25.13
ANPRC_MOUSE,Atrial natriuretic peptide receptor 3; AltName: Full=Atrial natriuretic peptide clearance receptor; AltName: Full=Atrial natriuretic peptide receptor type C; Short=ANP-C; Short=ANPR-C; Short=NPR-C; AltName: Full=EF-2; Flags: Precursor; Accession=P70180; G,6,0.98,0.94,0.87,0.06,0.02,0.13,23.43,23.43,23.41,23.37,23.37,23.24
ANR26_MOUSE,Ankyrin repeat domain-containing protein 26; Accession=Q811D2; Q69ZS2; Q9CS61; [Mus musculus (Mouse)],2,0.82,0.83,0.67,0.26,0.29,-0.66,22.95,22.95,22.66,22.69,22.69,23.35
ANR52_MOUSE,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C; Short=PP6-ARS-C; Short=Serine/threonine-protein phosphatase 6 regulatory subunit ARS-C; Accession=Q8BTI7; Q148Z3; [Mus musculus (Mouse)],1,0.38,,,,-0.89,,22.02,,22.91,,,
ANX11_MOUSE,Annexin A11; AltName: Full=Annexin XI; AltName: Full=Annexin-11; AltName: Full=Calcyclin-associated annexin 50; Short=CAP-50; Accession=P97384; Q921F1; [Mus musculus (Mouse)],11,0.43,0.80,0.63,-0.05,-0.17,0.07,25.91,25.91,26.07,25.96,25.96,25.89
ANXA1_MOUSE,Annexin A1; AltName: Full=Annexin I; AltName: Full=Annexin-1; AltName: Full=Calpactin II; AltName: Full=Calpactin-2; AltName: Full=Chromobindin-9; AltName: Full=Lipocortin I {ECO:0000303|PubMed:2974946}; AltName: Full=Phospholipase A2 inhibitory protein; ,7,0.77,0.17,0.29,0.42,-0.09,-0.33,25.39,25.39,25.48,24.97,24.97,25.30
ANXA2_MOUSE,Annexin A2; AltName: Full=Annexin II; AltName: Full=Annexin-2; AltName: Full=Calpactin I heavy chain; AltName: Full=Calpactin-1 heavy chain; AltName: Full=Chromobindin-8; AltName: Full=Lipocortin II; AltName: Full=Placental anticoagulant protein IV; Short,21,0.40,0.26,0.84,-0.33,-0.23,-0.07,26.95,26.95,27.18,27.28,27.28,27.35
ANXA3_MOUSE,Annexin A3; AltName: Full=35-alpha calcimedin; AltName: Full=Annexin III; AltName: Full=Annexin-3; AltName: Full=Lipocortin III; AltName: Full=Placental anticoagulant protein III; Short=PAP-III; Accession=O35639; Q3UBI0; [Mus musculus (Mouse)],10,0.43,0.29,0.37,-0.53,-0.40,-0.35,24.04,24.04,24.43,24.57,24.57,24.92
ANXA4_MOUSE,Annexin A4; AltName: Full=Annexin IV; AltName: Full=Annexin-4; Accession=P97429; Q3UCL0; [Mus musculus (Mouse)],2,0.74,0.52,0.43,-0.29,-0.13,0.33,23.85,23.85,23.98,24.14,24.14,23.81
ANXA5_MOUSE,Annexin A5; AltName: Full=Anchorin CII; AltName: Full=Annexin V; AltName: Full=Annexin-5; AltName: Full=Calphobindin I; Short=CBP-I; AltName: Full=Endonexin II; AltName: Full=Lipocortin V; AltName: Full=Placental anticoagulant protein 4; Short=PP4; AltNam,16,0.06,0.06,0.59,-0.47,-0.34,0.11,26.20,26.20,26.54,26.67,26.67,26.56
ANXA6_MOUSE,Annexin A6; AltName: Full=67 kDa calelectrin; AltName: Full=Annexin VI; AltName: Full=Annexin-6; AltName: Full=Calphobindin-II; Short=CPB-II; AltName: Full=Chromobindin-20; AltName: Full=Lipocortin VI; AltName: Full=Protein III; AltName: Full=p68; AltName,35,0.99,0.21,0.51,-0.15,0.00,0.07,28.01,28.01,28.01,28.16,28.16,28.10
